participant,File_ID,pt_location,age_group,pt_location_age_group,expName,date,excerpt_label_final,excerpt_name_original,genre_code,familiarity_specific_level,song_batch,no_thought_rate,creation_time_Acc,familiarity_specific_rated,thought_or_not_response.keys,have_thought_input.text,have_thought_input.text_EDIT,Artists_composers_singers_etc_mentioned,song_piece_titles_mentioned,media_or_fictional_characters_or_titles_mentioned,PossibleExclusion,no_thought_input.text,rating_Q1_music_related.response,rating_Q2_spontaneous.response,rating_Q3_reality.response,general_rating_Q1_familiarity.response,general_rating_Q2_enjoy.response,textbox_attnCheck.text,demographics.headphones,demographics.age,demographics.gender,demographics.livingCountry,demographics.birthCountry,demographics.nativeLangue,demographics.otherLanguage,demographics.otherLanguageText,demographics.hearingImpairments,demographics.hearingImpairmentsText,demographics.education,demographics.musicianIdentification,demographics.feedback,have_thoughts.started,have_thoughts.stopped,no_thought.started,no_thought.stopped,have_thoughts.RT,no_thought.RT,have_thought_word_count,no_thought_word_count,have_thought_input_text_EDIT_word_count,spelling_corrected,spelling_check_original_words,spelling_check_new_words,spelling_check_original_words_number,spelling_check_new_words_number,dimension_of_similarity_1,dimension_of_similarity_2,audio_name,original_order,online_order,have_thought_input.text_EDIT_PNAS,dimension_of_similarity_1_PNAS,dimension_of_similarity_2_PNAS
138945,MEI_UK18to30_2024-07-11_14h40.18.230_138945.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_14h40.18.230,Jaz_H_10,new-clip_Jazz_HIGH_Summertime.mp3,Jazz,H,10,0.125,NA,2.5625,y,This made me imagine being a child again at my grandma's house on a rainy Sunday afternoon where she would have been watching a boring old movie from her younger era and I would be sitting in the same room bored.,This made me imagine being a child again at my grandma's house on a rainy Sunday afternoon where she would have been watching a boring old movie from her younger era and I would be sitting in the same room bored.,,,,,,5,3,3,1,1,,TRUE,29,Female,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,7,1,NA,487.3567,518.7589,526.6915,526.6927,31.4022,NA,41,0,41,No,NA,NA,NA,NA,21.032814,-36.832527,Jaz_H_10_new-clip_Jazz_HIGH_Summertime.mp3,719,2712,This <i>made</i> <i>me</i> <i>imagine</i> <i>being</i> <i>a</i> child <i>again</i> <i>at</i> <i>my</i> grandma's house <i>on</i> <i>a</i> rainy Sunday afternoon <i>where</i> <i>she</i> would <i>have</i> <i>been</i> watching <i>a</i> boring old <i>movie</i> <i>from</i> <i>her</i> younger era <i>and</i> <i>I</i> would <i>be</i> sitting <i>in</i> <i>the</i> <i>same</i> room bored.,10.153765,-1.538983
276076,MEI_UK18to30_2024-07-11_14h46.37.678_276076.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_14h46.37.678,Jaz_H_07,new-clip_Jazz_HIGH_Feeling_Good.mp3,Jazz,H,7,0,NA,3.368421053,y,"New York big band, Frank Sinatra","New York big band, Frank Sinatra",Frank Sinatra ,,,,,4,5,2,2,4,,TRUE,26,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,5,3,"I found it to be a relatively enjoyable study, something I would like to do more of on this platform.",261.9123,299.1357,328.1009,328.1027,37.2234,NA,6,0,6,No,NA,NA,NA,NA,-48.6513,19.898235,Jaz_H_07_new-clip_Jazz_HIGH_Feeling_Good.mp3,723,2713,"New York big <i>band</i>, Frank Sinatra",-6.4765577,-16.831966
865694,MEI_UK18to30_2024-07-11_14h46.45.403_865694.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_14h46.45.403,Jaz_L_05,"new-clip_Jazz_LOW_Thinking_of_You,_Mjq.mp3",Jazz,L,5,0.15625,NA,1.5,y,unique and very distinctive.,unique and very distinctive.,,,,,,3,3,4,2,3,,TRUE,20,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,6,5,No.,1477.0688,1597.0598,1618.211,1618.2131,119.991,NA,4,0,4,No,NA,NA,NA,NA,-59.689785,33.5332,"Jaz_L_05_new-clip_Jazz_LOW_Thinking_of_You,_Mjq.mp3",737,2714,unique <i>and</i> <i>very</i> distinctive.,-21.301239,-30.864368
138571,MEI_UK18to30_2024-07-11_15h00.42.342_138571.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_15h00.42.342,Jaz_H_07,new-clip_Jazz_HIGH_Feeling_Good.mp3,Jazz,H,7,0,NA,3.368421053,y,I imagined myself sat in the audience at a huge cabaret show in New York city with a full audience and this music pumping.,I imagined myself sat in the audience at a huge cabaret show in New York city with a full audience and this music pumping.,,,,,,5,5,5,1,4,,TRUE,27,Male,United Kingdom,United Kingdom,English,TRUE,Dutch,FALSE,NA,7,2,NA,569.566,602.5843,609.2672,609.2686,33.0183,NA,24,0,24,No,NA,NA,NA,NA,-29.779003,-16.805471,Jaz_H_07_new-clip_Jazz_HIGH_Feeling_Good.mp3,743,2715,<i>I</i> <i>imagined</i> <i>myself</i> sat <i>in</i> <i>the</i> audience <i>at</i> <i>a</i> huge cabaret show <i>in</i> New York city <i>with</i> <i>a</i> full audience <i>and</i> <i>this</i> <i>music</i> pumping.,41.1787,-33.237892
547615,MEI_UK18to30_2024-07-11_15h01.35.716_547615.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_15h01.35.716,Jaz_H_07,new-clip_Jazz_HIGH_Feeling_Good.mp3,Jazz,H,7,0,NA,3.368421053,y,The music sounded like it could be from an advertisement of some sort. Visually I thought mostly of the instruments themselves.,The music sounded like it could be from an advertisement of some sort. Visually I thought mostly of the instruments themselves.,,,,,,4,4,2,2,4,,TRUE,20,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,4,2,NA,795.1866,835.4409,841.5562,841.5576,40.2543,NA,21,0,21,No,NA,NA,NA,NA,36.570213,6.364336,Jaz_H_07_new-clip_Jazz_HIGH_Feeling_Good.mp3,753,2716,The <i>music</i> <i>sounded</i> <i>like</i> <i>it</i> could <i>be</i> <i>from</i> <i>an</i> advertisement <i>of</i> <i>some</i> sort. Visually <i>I</i> <i>thought</i> mostly <i>of</i> <i>the</i> instruments themselves.,-53.950233,-19.704855
90805,MEI_UK18to30_2024-07-11_15h02.14.676_090805.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_15h02.14.676,Jaz_L_01,new-clip_Jazz_LOW_London_in_July.mp3,Jazz,L,1,0.193548387,NA,1.387096774,y,i imagined a room full of people ,i imagined a room full of people ,,,,,,3,4,2,1,3,banana,TRUE,21,Male,United Kingdom,United Kingdom,english,FALSE,NA,FALSE,NA,3,2,no,747.5561,778.5243,791.2946,791.2958,30.9682,NA,7,0,7,No,NA,NA,NA,NA,-12.544551,6.0694146,Jaz_L_01_new-clip_Jazz_LOW_London_in_July.mp3,757,2717,i <i>imagined</i> <i>a</i> room full <i>of</i> people ,13.757442,24.970806
47184,MEI_UK18to30_2024-07-15_09h03.44.165_047184.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h03.44.165,Jaz_L_06,new-clip_Jazz_LOW_Tempest.mp3,Jazz,L,6,0.151515152,NA,1.454545455,y,I just imagined someone playing the saxophone with a band behind them. Nothing exciting.,I just imagined someone playing the saxophone with a band behind them. Nothing exciting.,,,,,,4,2,3,1,1,,TRUE,29,Female,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,7,1,No,641.1043,673.9225,685.6377,685.6395,32.8182,NA,14,0,14,No,NA,NA,NA,NA,-33.41997,0.33504248,Jaz_L_06_new-clip_Jazz_LOW_Tempest.mp3,770,2718,<i>I</i> <i>just</i> <i>imagined</i> someone playing <i>the</i> <i>saxophone</i> <i>with</i> <i>a</i> <i>band</i> behind them. Nothing exciting.,21.254393,-65.55081
594139,MEI_UK18to30_2024-07-15_09h07.26.933_594139.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h07.26.933,Jaz_L_04,new-clip_Jazz_LOW_Sembellogy.mp3,Jazz,L,4,0.133333333,NA,1.333333333,y,"Music you'd hear in a restaurant, serving traditional British pub food. It seems like that type of relaxing music you expect to hear there.","Music you'd hear in a restaurant, serving traditional British pub food. It seems like that type of relaxing music you expect to hear there.",,,,,,3,3,4,2,4,,TRUE,22,Male,United Kingdom,United Kingdom,English,TRUE,Welsh,FALSE,NA,2,2,NA,1010.8501,1048.4924,1055.3502,1055.3579,37.6423,NA,24,0,24,No,NA,NA,NA,NA,33.976707,26.564028,Jaz_L_04_new-clip_Jazz_LOW_Sembellogy.mp3,777,2719,"Music you'd hear <i>in</i> <i>a</i> restaurant, serving traditional British pub food. <i>It</i> seems <i>like</i> <i>that</i> type <i>of</i> relaxing <i>music</i> <i>you</i> expect <i>to</i> hear there.",-41.651363,8.272951
788496,MEI_UK18to30_2024-07-15_09h23.59.217_788496.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h23.59.217,Jaz_L_03,new-clip_Jazz_LOW_Ainda_Mais_Amor.mp3,Jazz,L,3,0.171428571,NA,1.342857143,y,"Dancing maybe salsa in the sun, fun times, ","Dancing maybe salsa in the sun, fun times, ",,,,,NA,4,2,4,1,3,,TRUE,29,Female,United Kingdom,United Kingdom,english,TRUE,spanish,FALSE,NA,5,3,"Writing functionality was difficult, hard to amend words written etc",1031.3928,1070.5796,1079.5381,1079.5406,39.1868,NA,8,NA,8,No,NA,NA,NA,NA,-28.288195,-20.977037,Jaz_L_03_new-clip_Jazz_LOW_Ainda_Mais_Amor.mp3,784,2720,"Dancing maybe salsa <i>in</i> <i>the</i> sun, fun times, ",46.37435,-11.0962
409301,MEI_UK18to30_2024-07-15_09h24.37.234_409301.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h24.37.234,Jaz_H_08,new-clip_Jazz_HIGH_My_Baby_Just_Cares_for_Me_-2013_-_Remaster-.mp3,Jazz,H,8,0.088235294,NA,3.029411765,y,First thing I pictured was a a fancy restaurant in the 80s with golden decor and a live performance of this music to a crowd in suits and dresses,First thing I pictured was a fancy restaurant in the 80s with golden decor and a live performance of this music to a crowd in suits and dresses,,,,,,5,5,3,3,5,,TRUE,20,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,3,1,NA,1334.8136,1406.5087,1414.8371,1414.8456,71.6951,NA,29,0,28,Yes,NA,NA,NA,NA,-24.59417,-21.130411,Jaz_H_08_new-clip_Jazz_HIGH_My_Baby_Just_Cares_for_Me_-2013_-_Remaster-.mp3,795,2721,First thing <i>I</i> <i>pictured</i> <i>was</i> <i>a</i> fancy restaurant <i>in</i> <i>the</i> <i> <i>80</i> s</i> <i>with</i> golden decor <i>and</i> <i>a</i> live performance <i>of</i> <i>this</i> <i>music</i> <i>to</i> <i>a</i> crowd <i>in</i> suits <i>and</i> dresses,39.644596,26.900238
947794,MEI_UK18to30_2024-07-15_09h25.15.592_947794.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h25.15.592,Jaz_H_12,new-clip_Jazz_MED_Take_Five.mp3,Jazz,H,12,0.058823529,NA,3.382352941,y,A sleazy clubhouse from the 1950s/60s.,A sleazy clubhouse from the 1950s/60s.,,,,,,4,4,5,5,4,,TRUE,23,Male,United Kingdom,United Kingdom,English,TRUE,Persian and Kurdish,FALSE,NA,6,1,NA,490.5929,556.0569,565.7326,565.7349,65.464,NA,7,0,7,No,NA,NA,NA,NA,-3.2852705,-62.193954,Jaz_H_12_new-clip_Jazz_MED_Take_Five.mp3,798,2722,<i>A</i> sleazy clubhouse <i>from</i> <i>the</i>  <i>19 <i>50</i> </i> s/ <i>60</i> s.,50.117733,25.90762
992187,MEI_UK18to30_2024-07-15_09h26.15.734_992187.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h26.15.734,Jaz_L_06,new-clip_Jazz_LOW_Tempest.mp3,Jazz,L,6,0.151515152,NA,1.454545455,y,Old school show. Mimes mimicking siliently. Comedy show...,Old school show. Mimes mimicking silently. Comedy show...,,,,,,3,3,1,2,1,,TRUE,19,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,4,1,no,278.7037,311.5667,325.0244,325.0258,32.863,NA,8,0,8,Yes,siliently.,silently.,1,1,-35.112186,39.373512,Jaz_L_06_new-clip_Jazz_LOW_Tempest.mp3,804,2723,Old school show. Mimes mimicking silently. Comedy show...,-18.9412,-43.248333
777402,MEI_UK18to30_2024-07-15_09h34.35.197_777402.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h34.35.197,Jaz_H_12,new-clip_Jazz_MED_Take_Five.mp3,Jazz,H,12,0.058823529,NA,3.382352941,y,I imagined a jazz dancer and a drummer,I imagined a jazz dancer and a drummer,,,,,,5,5,5,3,2,,TRUE,23,Female,United Kingdom,United Kingdom,English,TRUE,German,FALSE,NA,4,6,The buttons often didn't press when wanting to press them.,565.5095,597.4042,604.2631,604.2648,31.8947,NA,8,0,8,No,NA,NA,NA,NA,-48.34877,9.243508,Jaz_H_12_new-clip_Jazz_MED_Take_Five.mp3,814,2724,<i>I</i> <i>imagined</i> <i>a</i> <i>jazz</i> dancer <i>and</i> <i>a</i> drummer,70.60637,-23.274637
698243,MEI_UK18to30_2024-07-15_09h35.15.286_698243.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h35.15.286,Jaz_L_02,new-clip_Jazz_MED_Turiya_and_Ramakrishna.mp3,Jazz,L,2,0.142857143,NA,1.371428571,y,I thought about the main character in a movie just walking about in the city with this as the background music.,I thought about the main character in a movie just walking about in the city with this as the background music.,,,,,,4,2,1,5,4,,TRUE,19,Male,United Kingdom,United Kingdom,English,TRUE,Tamil,FALSE,NA,3,2,"I loved this survey, would love to do more on this!",359.9177,409.3233,417.5477,417.5484,49.4056,NA,21,0,21,No,NA,NA,NA,NA,4.805221,-17.94317,Jaz_L_02_new-clip_Jazz_MED_Turiya_and_Ramakrishna.mp3,820,2725,<i>I</i> <i>thought</i> <i>about</i> <i>the</i> main character <i>in</i> <i>a</i> <i>movie</i> <i>just</i> walking <i>about</i> <i>in</i> <i>the</i> city <i>with</i> <i>this</i> <i>as</i> <i>the</i> background music.,-10.055745,10.893936
554637,MEI_UK18to30_2024-07-15_09h35.38.859_554637.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h35.38.859,Jaz_H_10,new-clip_Jazz_HIGH_Summertime.mp3,Jazz,H,10,0.125,NA,2.5625,y,Felt like I was in a sort of post-war period enjoying a drink in a nice cafe. The calm music just evoked a feeling of being in such a time. ,Felt like I was in a sort of post-war period enjoying a drink in a nice cafe. The calm music just evoked a feeling of being in such a time. ,,,,,,4,3,3,1,3,,TRUE,30,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,5,2,NA,108.2733,139.5288,156.2403,156.2424,31.2555,NA,31,0,31,No,NA,NA,NA,NA,16.636366,-30.40925,Jaz_H_10_new-clip_Jazz_HIGH_Summertime.mp3,827,2726,Felt <i>like</i> <i>I</i> <i>was</i> <i>in</i> <i>a</i> sort <i>of</i> post-war period enjoying <i>a</i> drink <i>in</i> <i>a</i> nice cafe. The calm <i>music</i> <i>just</i> evoked <i>a</i> feeling <i>of</i> <i>being</i> <i>in</i> <i>such</i> <i>a</i> time. ,-46.524544,13.941255
27319,MEI_UK18to30_2024-07-15_09h35.55.861_027319.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h35.55.861,Jaz_L_03,new-clip_Jazz_LOW_Ainda_Mais_Amor.mp3,Jazz,L,3,0.171428571,NA,1.342857143,y,"island vibes, tropical setting, lots of palm trees and sun","island vibes, tropical setting, lots of palm trees and sun",,,,,NA,5,5,1,2,3,,TRUE,30,Female,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,3,2,NA,1194.4494,1276.2481,1283.2529,1283.2595,81.7987,NA,10,NA,10,No,NA,NA,NA,NA,-36.56631,-57.684235,Jaz_L_03_new-clip_Jazz_LOW_Ainda_Mais_Amor.mp3,843,2727,"island vibes, tropical setting, lots <i>of</i> palm trees <i>and</i> sun",4.3252597,65.3807
120019,MEI_UK18to30_2024-07-15_09h43.12.170_120019.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h43.12.170,Jaz_L_03,new-clip_Jazz_LOW_Ainda_Mais_Amor.mp3,Jazz,L,3,0.171428571,NA,1.342857143,y,"The piece reminded me of an old mobile phone ringtone, as the beat was quite chaotic.","The piece reminded me of an old mobile phone ringtone, as the beat was quite chaotic.",,,,,,4,4,3,1,2,,TRUE,29,Female,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,5,2,no,420.2961,461.1215,478.0388,478.0439,40.8254,NA,16,0,16,No,NA,NA,NA,NA,5.629493,-9.094084,Jaz_L_03_new-clip_Jazz_LOW_Ainda_Mais_Amor.mp3,854,2728,"The <i>piece</i> <i>reminded</i> <i>me</i> <i>of</i> <i>an</i> old mobile phone ringtone, <i>as</i> <i>the</i> beat <i>was</i> quite chaotic.",10.918227,-10.525531
502621,MEI_UK18to30_2024-07-15_09h44.55.661_502621.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h44.55.661,Jaz_H_10,new-clip_Jazz_HIGH_Summertime.mp3,Jazz,H,10,0.125,NA,2.5625,y,The music clip sounded sad to me with a feeling of nervous anticipation. It reminded me of music that would play in a movie scene of a funeral.,The music clip sounded sad to me with a feeling of nervous anticipation. It reminded me of music that would play in a movie scene of a funeral.,,,,,,5,5,3,2,2,,TRUE,24,Female,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,5,2,NA,765.1954,817.713,824.8684,824.8736,52.5176,NA,28,0,28,No,NA,NA,NA,NA,10.167757,49.687046,Jaz_H_10_new-clip_Jazz_HIGH_Summertime.mp3,865,2729,The <i>music</i> clip <i>sounded</i> sad <i>to</i> <i>me</i> <i>with</i> <i>a</i> feeling <i>of</i> nervous anticipation. <i>It</i> <i>reminded</i> <i>me</i> <i>of</i> <i>music</i> <i>that</i> would play <i>in</i> <i>a</i> <i>movie</i> <i>scene</i> <i>of</i> <i>a</i> funeral.,-53.781773,11.288488
69080,MEI_UK18to30_2024-07-15_09h45.56.003_069080.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h45.56.003,Jaz_H_11,new-clip_Jazz_HIGH_Fly_Me_To_The_Moon_-_2008_Remastered.mp3,Jazz,H,11,0.0625,NA,3.65625,y,I imagined a band on a cruise ship playing this type of jazz music on the evening for the guests.,I imagined a band on a cruise ship playing this type of jazz music on the evening for the guests.,,,,,,4,3,2,4,4,,TRUE,26,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,5,2,NA,897.6065,934.9397,969.6953,969.6994,37.3332,NA,20,0,20,No,NA,NA,NA,NA,-45.20235,-3.0567012,Jaz_H_11_new-clip_Jazz_HIGH_Fly_Me_To_The_Moon_-_2008_Remastered.mp3,875,2730,<i>I</i> <i>imagined</i> <i>a</i> <i>band</i> <i>on</i> <i>a</i> cruise ship playing <i>this</i> type <i>of</i> <i>jazz</i> <i>music</i> <i>on</i> <i>the</i> evening <i>for</i> <i>the</i> guests.,5.5950327,-56.803604
897835,MEI_UK18to30_2024-07-15_09h51.16.816_897835.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h51.16.816,Jaz_L_06,new-clip_Jazz_LOW_Tempest.mp3,Jazz,L,6,0.151515152,NA,1.454545455,y,I imagined the moulin rouge windmill. It sounded quite french but was quite awful to listen to actually. ,I imagined the moulin rouge windmill. It sounded quite french but was quite awful to listen to actually. ,,,moulin rouge,,,5,5,2,1,1,,TRUE,28,Female,United Kingdom,United Kingdom,english,FALSE,NA,FALSE,NA,5,3,no ,796.1501,835.1846,841.2432,841.245,39.0345,NA,18,0,18,No,NA,NA,NA,NA,62.680878,25.27288,Jaz_L_06_new-clip_Jazz_LOW_Tempest.mp3,898,2731,<i>I</i> <i>imagined</i> <i>the</i> moulin rouge windmill. <i>It</i> <i>sounded</i> quite french <i>but</i> <i>was</i> quite awful <i>to</i> listen <i>to</i> actually. ,-32.85284,-18.463573
654227,MEI_UK18to30_2024-07-15_09h53.02.971_654227.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h53.02.971,Jaz_L_06,new-clip_Jazz_LOW_Tempest.mp3,Jazz,L,6,0.151515152,NA,1.454545455,y,I was particularly focused on the instruments. I am a saxophone player myself so I enjoyed that part. Reminds me of some songs I've played or heard other people play.,I was particularly focused on the instruments. I am a saxophone player myself so I enjoyed that part. Reminds me of some songs I've played or heard other people play.,,,,,,5,4,3,2,4,banana,TRUE,21,Female,United Kingdom,United Kingdom,English,TRUE,Dutch,FALSE,NA,5,2,Nope,483.1961,520.4665,533.3938,533.4065,37.2704,NA,30,0,30,No,NA,NA,NA,NA,30.678108,14.554034,Jaz_L_06_new-clip_Jazz_LOW_Tempest.mp3,903,2732,<i>I</i> <i>was</i> particularly focused <i>on</i> <i>the</i> instruments. <i>I</i> <i>am</i> <i>a</i> <i>saxophone</i> player <i>myself</i> <i>so</i> <i>I</i> enjoyed <i>that</i> part. Reminds <i>me</i> <i>of</i> <i>some</i> <i>songs</i> I've played <i>or</i> heard <i>other</i> people play.,14.83523,-56.55661
934045,MEI_UK18to30_2024-07-15_09h53.03.176_934045.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h53.03.176,Jaz_L_01,new-clip_Jazz_LOW_London_in_July.mp3,Jazz,L,1,0.193548387,NA,1.387096774,y,At the start of the music I pictured two very well dressed women walking in a well maintained garden. Then the music changed and it just sounded like sitcom music maybe the intro song of a family-oriented show,At the start of the music I pictured two very well dressed women walking in a well maintained garden. Then the music changed and it just sounded like sitcom music maybe the intro song of a family-oriented show,,,,,,4,4,1,1,1,,TRUE,28,Male,United Kingdom,Iran,English,TRUE,Persian ,FALSE,NA,5,1,NA,1458.9917,1573.9588,1587.4938,1587.4981,114.9671,NA,39,0,39,No,NA,NA,NA,NA,7.3230505,-1.9859105,Jaz_L_01_new-clip_Jazz_LOW_London_in_July.mp3,914,2733,At <i>the</i> start <i>of</i> <i>the</i> <i>music</i> <i>I</i> <i>pictured</i> two <i>very</i> well dressed women walking <i>in</i> <i>a</i> well maintained garden. Then <i>the</i> <i>music</i> changed <i>and</i> <i>it</i> <i>just</i> <i>sounded</i> <i>like</i> sitcom <i>music</i> maybe <i>the</i> intro <i>song</i> <i>of</i> <i>a</i> family-oriented show,-7.120792,6.232182
86779,MEI_UK18to30_2024-07-15_09h53.15.340_086779.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h53.15.340,Jaz_L_05,"new-clip_Jazz_LOW_Thinking_of_You,_Mjq.mp3",Jazz,L,5,0.15625,NA,1.5,y,A jazz night at a bar or elevator music,A jazz night at a bar or elevator music,,,,,,5,5,3,2,4,,TRUE,21,Female,United Kingdom,Vietnam,Vietnamese,TRUE,English,FALSE,NA,4,2,"None, this study was enjoyable to complete. ",425.153,459.5893,482.7746,482.7779,34.4363,NA,9,0,9,No,NA,NA,NA,NA,-69.477455,-3.413607,"Jaz_L_05_new-clip_Jazz_LOW_Thinking_of_You,_Mjq.mp3",916,2734,<i>A</i> <i>jazz</i> night <i>at</i> <i>a</i> bar <i>or</i> elevator music,57.244183,30.902163
875335,MEI_UK18to30_2024-07-15_09h53.18.569_875335.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h53.18.569,Jaz_H_10,new-clip_Jazz_HIGH_Summertime.mp3,Jazz,H,10,0.125,NA,2.5625,y,This track reminds me of  a sad/sombre section of a film where someone is reflecting on a bad mistake or loss,This track reminds me of  a sad/somber section of a film where someone is reflecting on a bad mistake or loss,,,,,,1,4,3,1,1,,TRUE,30,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,5,1,NA,997.7328,1031.7672,1038.0319,1038.0336,34.0344,NA,22,0,22,Yes,sad/sombre,sad/somber,2,2,20.028912,7.633619,Jaz_H_10_new-clip_Jazz_HIGH_Summertime.mp3,930,2735,This track <i>reminds</i> <i>me</i> <i>of</i>  <i>a</i> sad/somber section <i>of</i> <i>a</i> <i>film</i> <i>where</i> someone <i>is</i> reflecting <i>on</i> <i>a</i> bad mistake <i>or</i> loss,-51.56047,11.658719
766766,MEI_UK18to30_2024-07-15_09h53.23.574_766766.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h53.23.574,Jaz_H_07,new-clip_Jazz_HIGH_Feeling_Good.mp3,Jazz,H,7,0,NA,3.368421053,y,makes me think of watching epic heist movies - my partners favourite thing to do ,makes me think of watching epic heist movies - my partners favourite thing to do ,,,,,,5,4,1,5,5,,TRUE,24,Female,United Kingdom,United Kingdom,english,FALSE,NA,FALSE,NA,5,2,NA,634.3572,665.8592,680.7109,680.7181,31.502,NA,14,0,14,No,NA,NA,NA,NA,36.422382,45.672413,Jaz_H_07_new-clip_Jazz_HIGH_Feeling_Good.mp3,936,2736,makes <i>me</i> <i>think</i> <i>of</i> watching epic heist <i>movies</i> - <i>my</i> partners favourite thing <i>to</i> <i>do</i> ,-37.277496,-45.248974
66587b4a6958c4992532b856,MEI_UK18to30_2024-07-15_09h54.02.214_66587b4a6958c4992532b856.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h54.02.214,Jaz_L_02,new-clip_Jazz_MED_Turiya_and_Ramakrishna.mp3,Jazz,L,2,0.142857143,NA,1.371428571,y,"I imagined a sort of jazz club, looked smokey from cigarettes with a round mahogany bar where people socialised.","I imagined a sort of jazz club, looked smokey from cigarettes with a round mahogany bar where people socialised.",,,,,NA,5,5,3,1,4,Banana,TRUE,27,Female,United Kingdom,Poland,Polish,TRUE,English,FALSE,NA,5,1,"It was very fun, thank you! Good luck with the study :-)",815.5822,850.3401,873.2064,873.2076,34.7579,NA,19,NA,19,No,NA,NA,NA,NA,-43.825962,-8.014251,Jaz_L_02_new-clip_Jazz_MED_Turiya_and_Ramakrishna.mp3,945,2737,"<i>I</i> <i>imagined</i> <i>a</i> sort <i>of</i> <i>jazz</i> club, looked smokey <i>from</i> cigarettes <i>with</i> <i>a</i> round mahogany bar <i>where</i> people socialised.",45.860924,34.013725
883789,MEI_UK18to30_2024-07-15_09h54.29.682_883789.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-15_09h54.29.682,Jaz_L_06,new-clip_Jazz_LOW_Tempest.mp3,Jazz,L,6,0.151515152,NA,1.454545455,y,I imagined black and white movies. ,I imagined black and white movies. ,,,,,,5,4,3,1,1,,TRUE,30,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,7,2,No.,692.9651,725.604,747.0888,747.0942,32.6389,NA,6,0,6,No,NA,NA,NA,NA,-41.64392,33.141193,Jaz_L_06_new-clip_Jazz_LOW_Tempest.mp3,954,2738,<i>I</i> <i>imagined</i> black <i>and</i> white movies. ,48.39223,16.176989
